Name,Account number,Status,Banding
TransportCo1,AB0000000,Active,Silver
TransportCo2,AB0000001,Blocked,Gold
TransportCo3,AB0000002,Active,Gold
TransportCo4,AB0000003,Blocked,Bronze
TransportCo5,AB0000004,Blocked,Bronze
TransportCo6,AB0000005,Active,Bronze
TransportCo7,AB0000006,Blocked,Bronze
TransportCo8,AB0000007,Active,Platinum
TransportCo9,AB0000008,Active,Silver
TransportCo10,AB0000009,Active,Bronze
TransportCo11,AB0000010,Blocked,Platinum
TransportCo12,AB0000011,Blocked,Silver
TransportCo13,AB0000012,Blocked,Silver
TransportCo14,AB0000013,Blocked,Gold
TransportCo15,AB0000014,Blocked,Platinum
TransportCo16,AB0000015,Active,Silver
TransportCo17,AB0000016,Active,Silver
TransportCo18,AB0000017,Active,Platinum
TransportCo19,AB0000018,Active,Platinum
TransportCo20,AB0000019,Active,Platinum
TransportCo21,AB0000020,Active,Silver
TransportCo22,AB0000021,Blocked,Platinum
TransportCo23,AB0000022,Blocked,Platinum
TransportCo24,AB0000023,Active,Gold
TransportCo25,AB0000024,Active,Platinum
TransportCo26,AB0000025,Active,Silver
TransportCo27,AB0000026,Blocked,Bronze
TransportCo28,AB0000027,Blocked,Platinum
TransportCo29,AB0000028,Blocked,Platinum
TransportCo30,AB0000029,Active,Platinum
TransportCo31,AB0000030,Active,Gold
TransportCo32,AB0000031,Blocked,Gold
TransportCo33,AB0000032,Active,Gold
TransportCo34,AB0000033,Active,Silver
TransportCo35,AB0000034,Blocked,Platinum
TransportCo36,AB0000035,Active,Silver
TransportCo37,AB0000036,Active,Gold
TransportCo38,AB0000037,Active,Platinum
TransportCo39,AB0000038,Active,Gold
TransportCo40,AB0000039,Active,Gold
TransportCo41,AB0000040,Blocked,Silver
TransportCo42,AB0000041,Blocked,Silver
TransportCo43,AB0000042,Blocked,Bronze
TransportCo44,AB0000043,Active,Gold
TransportCo45,AB0000044,Active,Gold
TransportCo46,AB0000045,Blocked,Gold
TransportCo47,AB0000046,Blocked,Silver
TransportCo48,AB0000047,Active,Silver
TransportCo49,AB0000048,Active,Gold
TransportCo50,AB0000049,Active,Silver
TransportCo51,AB0000050,Active,Bronze
TransportCo52,AB0000051,Blocked,Bronze
TransportCo53,AB0000052,Active,Bronze
TransportCo54,AB0000053,Active,Bronze
TransportCo55,AB0000054,Active,Platinum
TransportCo56,AB0000055,Active,Gold
TransportCo57,AB0000056,Active,Silver
TransportCo58,AB0000057,Active,Bronze
TransportCo59,AB0000058,Blocked,Gold
TransportCo60,AB0000059,Blocked,Silver
TransportCo61,AB0000060,Active,Gold
TransportCo62,AB0000061,Active,Silver
TransportCo63,AB0000062,Active,Gold
TransportCo64,AB0000063,Blocked,Bronze
TransportCo65,AB0000064,Blocked,Gold
TransportCo66,AB0000065,Blocked,Gold
TransportCo67,AB0000066,Active,Platinum
TransportCo68,AB0000067,Active,Gold
TransportCo69,AB0000068,Active,Bronze
TransportCo70,AB0000069,Blocked,Platinum
TransportCo71,AB0000070,Active,Gold
TransportCo72,AB0000071,Blocked,Platinum
TransportCo73,AB0000072,Blocked,Platinum
TransportCo74,AB0000073,Active,Silver
TransportCo75,AB0000074,Active,Gold
TransportCo76,AB0000075,Active,Platinum
TransportCo77,AB0000076,Blocked,Bronze
TransportCo78,AB0000077,Blocked,Silver
TransportCo79,AB0000078,Active,Silver
TransportCo80,AB0000079,Active,Gold
TransportCo81,AB0000080,Blocked,Bronze
TransportCo82,AB0000081,Active,Gold
TransportCo83,AB0000082,Active,Bronze
TransportCo84,AB0000083,Blocked,Platinum
TransportCo85,AB0000084,Blocked,Bronze
TransportCo86,AB0000085,Active,Silver
TransportCo87,AB0000086,Blocked,Silver
TransportCo88,AB0000087,Blocked,Platinum
TransportCo89,AB0000088,Active,Gold
TransportCo90,AB0000089,Active,Gold
TransportCo91,AB0000090,Blocked,Platinum
TransportCo92,AB0000091,Active,Gold
TransportCo93,AB0000092,Active,Bronze
TransportCo94,AB0000093,Active,Silver
TransportCo95,AB0000094,Active,Gold
TransportCo96,AB0000095,Blocked,Silver
TransportCo97,AB0000096,Active,Silver
TransportCo98,AB0000097,Blocked,Silver
TransportCo99,AB0000098,Active,Gold
TransportCo100,AB0000099,Active,Platinum
